0, 6
1, 4
2, 2
3, 1
4, 5
5, 3
6, 2
7, 4
8, 4
9, 6
10, 2
11, 2
12, 2
13, 3
14, 1
15, 5
16, 4
17, 2
18, 2
19, 4
20, 6
21, 3
22, 0
23, 4
24, 2
25, 2
26, 2
27, 2
28, 5
29, 4
30, 4
31, 4
32, 3
33, 10
34, 1
35, 0
36, 1
37, 2
38, 3
39, 2
40, 5
41, 3
42, 1
43, 4
44, 4
45, 2
46, 4
47, 2
48, 0
49, 2
50, 6
51, 2
52, 1
53, 5
54, 4
55, 3
56, 1
57, 5
58, 2
59, 1
60, 2
61, 1
62, 3
63, 2
64, 3
65, 2
66, 5
67, 6
68, 5
69, 3
70, 2
71, 5
72, 3
73, 2
74, 3
75, 6
76, 3
77, 1
78, 0
79, 3
80, 4
81, 2
82, 6
83, 1
84, 2
85, 3
86, 3
87, 3
88, 2
89, 1
90, 7
91, 2
92, 4
93, 2
94, 5
95, 4
96, 2
97, 3
98, 3
99, 3
100, 1
101, 2
102, 6
103, 4
104, 2
105, 4
106, 4
107, 5
108, 2
109, 7
110, 2
111, 2
112, 6
113, 1
114, 1
115, 0
116, 3
117, 4
118, 5
119, 4
120, 3
121, 1
122, 6
123, 0
124, 5
125, 4
126, 3
127, 2
128, 1
129, 2
130, 0
131, 4
132, 1
133, 4
134, 0
135, 1
136, 1
137, 0
138, 2
139, 6
140, 5
141, 4
142, 3
143, 2
144, 2
145, 2
146, 3
147, 4
148, 2
149, 5
150, 3
151, 3
152, 0
153, 4
154, 1
155, 2
156, 1
157, 3
158, 5
159, 3
160, 6
161, 1
162, 5
163, 2
164, 2
165, 5
166, 1
167, 3
168, 0
169, 5
170, 4
171, 1
172, 3
173, 3
174, 6
175, 2
176, 1
177, 2
178, 3
179, 3
180, 4
181, 2
182, 3
183, 5
184, 1
185, 2
186, 2
187, 1
188, 3
189, 1
190, 2
191, 2
192, 4
193, 2
194, 5
195, 0
196, 5
197, 3
198, 6
199, 3
200, 4
201, 2
202, 4
203, 0
204, 2
205, 3
206, 3
207, 4
208, 1
209, 1
210, 4
211, 7
212, 3
213, 3
214, 1
215, 4
216, 2
217, 4
218, 3
219, 1
220, 4
221, 4
222, 2
223, 2
224, 3
225, 3
226, 2
227, 2
228, 1
229, 2
230, 3
231, 1
232, 6
233, 7
234, 4
235, 3
236, 7
237, 3
238, 4
239, 2
240, 4
241, 2
242, 5
243, 3
244, 1
245, 3
246, 4
247, 2
248, 3
249, 1
250, 2
251, 2
252, 5
253, 4
254, 3
255, 2
