32, 1
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 7
45, 3
46, 2
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 1
66, 0
67, 36
68, 60
69, 10
70, 32
71, 0
72, 54
73, 67
74, 11
75, 12
76, 0
77, 4
78, 19
79, 0
80, 0
81, 5
82, 111
83, 0
84, 0
85, 0
86, 0
87, 0
88, 0
89, 7
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 39
100, 0
101, 21
102, 21
103, 0
104, 56
105, 26
106, 13
107, 0
108, 0
109, 13
110, 1
111, 0
112, 1
113, 0
114, 45
115, 0
116, 44
117, 2
118, 0
119, 17
120, 1
121, 2
122, 0
123, 0
124, 0
125, 0
126, 0
127, 0
